page_number,cleaned_text,sentence_count,entity_count
25,"Covering the entire heart is a saclike membrane called the pericardium,which has two layers: a visceral layer that s in contact with the heart and aparietal, or outer, layer. To prevent irritation when the heart moves againstthis layer during contraction, fluid lubricates the parietal pericardium.The heart has four chambers: two thin-walled chambers called atria andtwo thick-walled chambers called ventricles. The atria serve as reservoirsduring ventricular contraction (systole) and as booster pumps duringventricular relaxation (diastole). The left ventricle propels blood through thesystemic circulation. The right ventricle, which forces blood through thepulmonary circulation, is much thinner than the left because it meets only onesixth the resistance.a ELDER TIP As a persons body ages, the ventricular and aortic wallsstiffen, decreasing the heart s pumping action.HEART VALVESTwo kinds of valves work inside the heart: atrioventricular (atrioventricular) andsemilunar. The atrioventricular valve between the right atrium and the ventricle has threeleaflets, or cusps, and three papillary muscles; hence, it s called thetricuspid valve. The atrioventricular valve between the left atrium and the ventricleconsists of two cusps shaped like a bishop s hat, or miter, and two papillarymuscles and is called the mitral valve. The tricuspid and mitral valvesprevent blood backflow from the ventricles to the atria during ventricularcontraction. The leaflets of both valves are attached to the ventricles papillary muscles by thin, fibrous bands called chordae tendineae; theleaflets separate and descend funnel-like into the ventricles during diastoleand are pushed upward and together during systole to occlude the mitral andtricuspid orifices. The valves action isn t entirely passive because papillarymuscles contract during systole and prevent the leaflets from prolapsing intothe atria during ventricular contraction.The two semilunar valves, which resemble half-moons, prevent bloodbackflow from the aorta and pulmonary arteries into the ventricles whenthose chambers relax and fill with blood from the atria. They re referred toas the aortic valve and pulmonic valve for their respective arteries.a ELDER TIP In elderly people, fibrotic and sclerotic changes thickenheart valves and reduce their flexibility. These changes lead torigidity and incomplete closure of the valves, which may result in systolicor diastolic murmurs.",12,116
26,"THE CARDIAC CYCLEDiastole is the phase of ventricular relaxation and filling. As diastole begins,ventricular pressure falls below arterial pressure, and the aortic andpulmonic valves close. As ventricular pressure continues to fall below atrialpressure, the mitral and tricuspid valves open, and blood flows rapidly intothe ventricles. Atrial contraction then increases the volume of ventricularfilling by pumping 15 to 25 more blood into the ventricles. When systolebegins, the ventricular muscle contracts, raising ventricular pressure aboveatrial pressure and closing the mitral and tricuspid valves. When ventricularpressure finally becomes greater than that in the aorta and pulmonary artery,the aortic and pulmonic valves open, and the ventricles eject blood.Ventricular pressure continues to rise as blood is expelled from the heart. Assystole ends, the ventricles relax and stop ejecting blood, and ventricularpressure falls, closing both valves.S, (the first heart sound) is heard as the ventricles contract and the AVvalves close. S, is loudest at the heart s apex, over the mitral area. S, (thesecond heart sound), which is normally rapid and sharp, occurs when theaortic and pulmonic valves close. S, is loudest at the heart s base (secondintercostal space intercostal space on both sides of the stemum).Ventricular distention during diastole, which can occur in systolic heartfailure, creates low-frequency vibrations that may be heard as a third heartsound (S,), or ventricular gallop. An atrial gallop (S,) may appear at the endof diastole, just before S,, if atrial filling is forced into a ventricle that hasbecome less compliant or overdistended or has a decreased ability tocontract. A pressure rise and ventricular vibrations cause this sound.CARDIAC CONDUCTIONThe heart s conduction system is composed of specialized cells capable ofgenerating and conducting rhythmic electrical impulses to stimulate heartcontraction. This system includes the sinoatrial (sinoatrial) node, the atrioventricular junction,the bundle of His and its bundle branches, and the ventricular conductiontissue and Purkinje fibers.Normally, the sinoatrial node controls the heart rate and rhythm at 60 to 100beats/minute. Because the sinoatrial node has the lowest resting potential, it s theheart s pacemaker. If it defaults, another part of the system takes over. The atrioventricular junction may emerge at 40 to 60 beats/minute; the bundle of His and",16,111
27,"bundle branches at 30 to 40 beats/minute; and ventricular conduction tissue at20 to 30 beats/minute.a ELDER TIP As the myocardium of the aging heart becomes moreirritable, extrasystoles may occur along with sinus arrhythmias andsinus bradycardias. In addition, increased fibrous tissue infiltrates the SAnodes and intemodal atrial tracts, which may cause atrial fibrillationand flutter.CARDIAC OUTPUTCardiac output the amount of blood pumped by the left ventricle into theaorta each minute is calculated by multiplying the stroke volume (theamount of blood the left ventricle ejects during each contraction) by the heartrate (number of beats/minute). When cellular demands increase, strokevolume or heart rate must increase.Many factors affect the heart rate, including exercise, pregnancy, andstress. When the sympathetic nervous system releases norepinephrine, theheart rate increases; when the parasympathetic system releases acetylcholine,it slows. As a person ages, the heart rate takes longer to normalize afterexercise.Stroke volume depends on the ventricular blood volume and pressure atthe end of diastole (preload), resistance to ejection (afterload), and themyocardium s contractile strength (inotropy). Changes in preload, afterload,or inotropic state can alter the stroke volume.a ELDER TIP Exercise cardiac output declines slightly with age. Adecrease in maximum heart rate and contractility may cause thischange.CIRCULATION AND PULSESBlood circulates through three types of vessels: arteries, veins, andcapillaries. The sturdy, pliable walls of the arteries adjust to the volume ofblood leaving the heart. The major artery branching out of the left ventricle isthe aorta. Its segments and subbranches ultimately divide into minute, thin-walled (one-cell thick) capillaries. Capillaries pass the blood to the veins,which retum it to the heart. In the veins, valves prevent blood backflow.Cyrene TIP Aging contributes to arterial and venous insufficiency asthe strength and elasticity of blood vessels decrease.",12,115
28,"Pulses are felt best wherever an artery runs near the skin and over a hardstructure. (See Pulse points.) Easily found pulses are:Pulse Points Peripheral pulse rhythm should correspond exactly to the auscultatoryheart rhythm. The pulse s character may offer useful information. Forexample, pulsus altemans, a strong beat followed by a weak one, canmean myocardial weakness. A water-hammer (or Corrigan) pulse, aforceful bounding pulse best felt in the carotid arteries or in the forearm,accompanies increased pulse pressure commonly with capillarypulsations of the fingemails (Quincke sign). This pulse usually indicatesaortic valve regurgitation.Pulsus bisferiens, a double peripheral pulse for every apical beat, cansignal aortic regurgitation or hypertrophic obstructive cardiomyopathy.Pulsus bigeminus is a coupled rhythm; you feel its beat in pairs. Pulsusparadoxus is exaggerated waxing and waning of the arterial pressure(215 mm Hg decrease in systolic blood pressure during inspiration),often seen in cardiac tamponade.",8,47
29,Temporal pulse Carotid pulse Brachialpulse Radialpulse Femoral pulse Dorsalispedis pulse,1,6
30,"w radial artery anterolateral aspect of the wrist temporal artery in front of the ear, above and lateral to the eye common carotid artery neck (side) femoral artery groin The lymphatic system also plays a role in the cardiovascular network.Originating in tissue spaces, the lymphatic system drains fluid and otherplasma components that build up in extravascular spaces and reroutes themback to the circulatory system as lymph, a plasmalike fluid. Lymphatics alsoextract bacteria and foreign bodies.CARDIOVASCULAR ASSESSMENTPhysical assessment provides vital information about cardiovascular status. Check for underlying cardiovascular disorders, such as central cyanosis(impaired gas exchange), edema (heart failure or valvular disease), andclubbing (congenital cardiovascular disease). Palpate the peripheral pulses bilaterally and evaluate their rate, equality,and quality on a scale of 0 (absent) to 4 (bounding). (See Pulseamplitude scale.)Pulse amplitude scale To record your patient s pulse amplitude, use this standard scale: 0: Pulse isn t palpable. 1: Pulse is thready, weak, difficult to find, may fade in and out,and disappears easily with pressure. 2: Pulse is constant but not strong; light pressure must be appliedor pulse will disappear. 3: Pulse considered normal. Is easily palpable, doesn t disappearwith pressure. 4: Pulse is strong, bounding, and doesn t disappear with pressure.",11,65
31,"Inspect the carotid arteries for equal appearance. Auscultate for bruits;then palpate the arteries individually, one side at a time, for thrills (finevibrations due to irregular blood flow). Check for pulsations in the jugular veins (more easily seen than felt).Watch for jugular vein distention (JVD) a possible sign of right-sidedheart failure, valvular stenosis, cardiac tamponade, or pulmonaryembolism. Take blood pressure readings in both arms while the patient islying, sitting, and standing. Palpate the precordium for any abnormal pulsations, such as lifts, heaves,or thrills. Use the palms (at the base of the fingertips) or the fingertips.The normal apex will be felt as a light tap and extends over 1 (2.5 cm) orless. Systematically auscultate the anterior chest wall for each of the four heartsounds in the aortic area (second intercostal space at the right stemal border),pulmonic area (second intercostal space at the left stemal border), right ventriculararea (lower half of the left stemal border), and mitral area (fifth intercostal space at themidclavicular line). However, don t limit your auscultation to these fourareas. Valvular sounds may be heard all over the precordium. Therefore,inch your stethoscope in a Z pattem, from the base of the heart across anddown and then over to the apex, or start at the apex and work your way up.For low-pitched sounds, use the bell of the stethoscope; for high-pitchedsounds, the diaphragm. Carefully inspect each area for pulsations, andpalpate for thrills. Check the location of apical pulsation for deviations innormal size (7/, to /, 1 to 2 cm ) and position (in the mitral area) possible signs of left ventricular hypertrophy, left-sided valvular disease,or right ventricular disease.Listen for the vibrating sound of turbulent blood flow through a stenotic orincompetent valve. Time the murmur to determine where it occurs in thecardiac cycle between S, and S, (systolic), between S, and thefollowing S, (diastolic), or throughout systole (holosystolic). Finally,listen for the scratching or squeaking of a pericardial friction rub. SPECIAL CARDIOVASCULAR TESTSElectrocardiography (ECG) measures electrical activity by recordingcurrents transmitted by the heart. It can detect ischemia, injury, necrosis,",16,107
32,"bundle branch blocks, fascicular blocks, conduction delay, chamberenlargement, and arrhythmias. In Holter monitoring, a tape recording tracksas many as 100,000 cardiac cycles over a 12- or 24-hour period. This testmay be used to assess the effectiveness of antiarrhythmic drugs or to evaluatearrhythmia symptoms. A signal-averaged ECG will identify afterpotentials,which are associated with a risk of ventricular arrhythmias. (See Positioningchest electrodes, page 5.)Positioning chest electrodes To record the 12-lead electrocardiogram, place electrodes on thepatient s arms and legs (with the ground lead on the patient s right leg).The three standard limb leads (I, I, II) and the three augmented leads(a V,, a V,, a V,) are recorded using these electrodes.To record the precordial (chest) leads, place the electrodes asfollows: V, fourth intercostal space, right stemal border V, fourth intercostal space, left stemal border V, midway between V, and V, V, fifth intercostal space, left midclavicular line V. fifth intercostal space, left anterior axillary line V. fifth intercostal space, left midaxillary line",6,50
33,"Chest X-rays may reveal cardiac enlargement and aortic dilation. Theyalso assess pulmonary circulation. When pulmonary venous and arterialpressures rise, characteristic changes appear, such as dilation of thepulmonary venous shadows. When pulmonary venous pressure exceedsoncotic pressure of the blood, capillary fluid leaks into lung tissues, causingpulmonary edema. This fluid may settle in the alveoli, producing a butterflypattem, or the lungs may appear cloudy or hazy; in the interlobular septa,sharp linear densities (Kerley lines) may appear.Exercise testing intra-aortic balloon pump (IABP) treadmill determinesthe heart s response to physical stress. This test measures blood pressure and ECG changes during increasingly rigorous exercises. Myocardial ischemia,abnormal blood pressure response, or arrhythmias indicate the circulatorysystem s failure to adapt to exercise.Cardiac catheterization evaluates chest pain, the need for coronary arterysurgery or angioplasty, congenital heart defects, and valvular heart diseaseand determines the extent of heart failure. Right-sided catheterizationinvolves threading a pulmonary artery thermodilution catheter, which canmeasure cardiac output, through a vein into the right side of the heart,pulmonary artery, and its branches in the lungs to measure right atrial, right",8,63
34,"ventricular, pulmonary artery, and pulmonary artery wedge pressures(PAWPs). Left-sided catheterization entails retrograde catheterization of theleft ventricle or transseptal catheterization of the left atrium Ventriculography during left-sided catheterization involves injectingradiopaque dye into the left ventricle to measure ejection fraction and todisclose abnormal heart wall motion or mitral valve incompetence.In coronary angiography, radiopaque material injected into coronaryarteries allows cineangiographic visualization of coronary arterial narrowingor occlusion.Echocardiography uses echoes from pulsed high-frequency sound waves(ultrasound) to evaluate cardiac _ structures. Two-dimensionalechocardiography (most common), in which an ultrasound beam rapidlysweeps through an arc, produces a cross-sectional or fan-shaped view ofcardiac structures. Contrast agents may be used for image enhancement.Doppler echocardiography records blood flow within the cardiovascularsystem. Color Doppler echocardiography shows the direction of blood flow,which provides information about the degree of valvular insufficiency.Transesophageal echocardiography combines ultrasound with endoscopy tobetter view the heart s structures. This procedure allows images to be takenfrom the heart s posterior aspect.Echocardiography provides information about valve leaflets, size anddimensions of heart chambers, and thickness and motion of the septum andthe ventricular walls. It can also reveal intracardiac masses, detectpericardial effusion, diagnose hypertrophic cardiomyopathy, and estimatecardiac output and ejection fraction. This test can also evaluate possibleaortic dissection when it involves the ascending aorta.In multiple-gated acquisition scanning (MUGA), a radioactive isotope inthe intravascular compartment allows measurement of stroke volume, wallmotion, and ventricular ejection fraction. Myocardial imaging uses aradioactive isotope to detect abnormalities in myocardial perfusion. Thisagent concentrates in normally perfused areas of the myocardium but not inischemic areas ( cold spots ), which may be permanent (scar tissue) ortemporary (from transient ischemia). These tests can be done as exercisestudies or can be combined with drugs (nuclear stress test), in patients unableto exercise.Peripheral arteriography consists of a fluoroscopic X-ray after arterialinjection of a contrast medium. Similarly, phlebography defines the venous",12,107
